Geography,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctBachDeg25_Over,PctUnemployed16_Over,PctMarriedHouseholds,BirthRate
"Kitsap County, Washington",164.9,489.8,61898,260131,11.2,36.9,41.7,2.54,19.6,8,52.85607588,6.118831029
"Kittitas County, Washington",161.3,411.6,48127,43269,18.6,32.2,33.7,2.34,22.7,7.8,45.37250044,4.333095578
"Klickitat County, Washington",174.7,349.7,49348,21026,14.6,44,45.8,2.62,16,7,54.44486837,3.729487817
"Lewis County, Washington",194.8,430.4,44243,75882,17.1,42.2,43.4,2.52,9.3,12.1,51.02151448,4.603840773
"Lincoln County, Washington",144.4,350.1,49955,10321,12.5,47.8,48.9,2.34,15,4.8,54.02745995,6.796657382
"Mason County, Washington",176,505.4,52313,61023,15.6,43.5,48,2.58,11.9,12.9,51.22035959,4.964476021
"Okanogan County, Washington",175.9,461.8,37782,41516,23.2,42.2,43.5,2.42,11.9,8.9,51.01389975,4.204317269
"Pacific County, Washington",183.6,404,40189,20848,17.8,50.8,52.5,2.24,11.3,8.9,48.96703297,5.889178996
"Pend Oreille County, Washington",190.5,459.4,42579,13088,22.3,48.4,49.8,2.38,12,10.3,53.44699778,5.587583149
"Pierce County, Washington",177.8,510.9,60397,843954,13.1,34.7,37,2.65,16.2,9.2,50.06357342,5.533430211
"San Juan County, Washington",121.4,413.3,54721,16252,12.7,54,54.6,2.04,26.2,5.9,50.0389206,4.586129754
"Skagit County, Washington",172.7,499.3,51395,121846,15.7,40,42.2,2.56,15.9,8.2,52.93732685,5.818153266
"Skamania County, Washington",188.3,398.9,52673,11339,12.6,44.9,45.5,2.49,14.2,8.3,52.94771969,4.805591962
"Snohomish County, Washington",165.3,493.4,71890,772501,9.9,36.6,38.7,2.68,20.9,7.5,52.72049671,4.729251068
"Spokane County, Washington",171,440.7,50083,490945,16.3,35.7,38.7,2.45,18.1,8.4,48.18837711,5.355835918
"Stevens County, Washington",174.2,423.8,43823,43791,19.3,45.6,46.8,2.44,10.7,9.4,55.21239889,3.631082062
"Thurston County, Washington",169.9,495.9,61653,269536,11.9,37.1,39.9,2.52,20.3,8.5,50.87449211,5.180155167
"Wahkiakum County, Washington",153.8,463.2,51022,4042,13.9,51.5,53.1,2.31,10.1,10.6,53.37995338,0.535475234
"Walla Walla County, Washington",162.8,442.5,49819,60338,15.7,35.5,39.1,2.5,16.4,6.4,49.3270649,4.138710893
"Whatcom County, Washington",163.3,490.9,53733,212284,15.7,35.6,37.5,2.53,21.3,8.2,48.06875024,4.4729858
"Whitman County, Washington",140.8,390.5,41837,48177,28.4,24.4,23.9,2.31,25.7,8.8,40.55405483,3.304159034
"Yakima County, Washington",169.4,411,44342,248830,20.5,31.6,33.6,3.05,9.8,9,50.66898414,6.560611666
"Barbour County, West Virginia",189.7,445.2,35615,16704,21.5,40.9,42.1,2.68,7.9,9,55.28885946,2.292860865
"Berkeley County, West Virginia",206.1,463.1,56737,111901,13.2,38,38.6,2.63,12.7,9.7,51.52350516,4.872468117
"Boone County, West Virginia",236.7,501.8,37625,23372,22.1,41.2,43.2,2.5,5.4,9.2,53.06378967,4.220287661
"Braxton County, West Virginia",196.3,396.6,33817,14415,22.2,43.7,45.3,2.51,8.5,14.4,53.27269485,5.469020422
"Brooke County, West Virginia",186.2,481.6,43572,23350,15.1,44.1,48,2.26,11,6.4,47.58723829,4.970530452
"Cabell County, West Virginia",194,483.4,34887,96844,21.9,36.9,39.9,2.32,14.8,6.8,40.76501639,4.521925134
"Calhoun County, West Virginia",226.5,459.9,32162,7470,21.8,47.6,46.5,2.44,7.6,18.1,53.33333333,4.780114723
"Clay County, West Virginia",212.9,591,32961,8910,25.1,43.4,43.3,2.62,5.8,12.3,58.09248555,8.753056235
"Doddridge County, West Virginia",185.6,234,41838,8176,17.4,41.8,45.5,2.85,8.8,6.5,53.92670157,6.016466118
"Fayette County, West Virginia",217,457,36739,44997,21.4,42,45.1,2.47,8.4,9.2,49.88397759,6.526136485
"Gilmer County, West Virginia",209.9,463.1,32705,8518,28.9,37.4,41.2,2.4,9.8,9.4,52.58746356,2.328431373
"Grant County, West Virginia",128,356.3,41039,11766,17,45.5,45.7,2.8,7,6.7,55.4011976,3.528435035
"Greenbrier County, West Virginia",195.1,494.9,36996,35516,21.1,44.6,46.7,2.28,11.2,7.2,47.48027903,4.354354354
"Hampshire County, West Virginia",212.1,475.1,35980,23353,21.2,44,45.1,2.25,6.9,8.1,33.68648224,2.28320067
"Hancock County, West Virginia",184.1,495,48178,29815,12.9,44.1,47.9,2.32,12.6,7.2,48.44113541,5.693029274
"Hardy County, West Virginia",153,374.9,41010,13852,15.3,44.2,45,2.69,9.3,7.9,51.41582622,2.955003358
"Harrison County, West Virginia",206.7,506.6,42121,68714,13.9,40.5,43.5,2.48,13.5,7.4,49.69820377,5.060383303
"Jackson County, West Virginia",194.2,475.8,41121,29237,16.7,41.2,44.1,2.62,11.7,6.8,55.45062062,4.735242361
"Jefferson County, West Virginia",178.2,423.7,66950,56482,10.2,39.9,39.3,2.65,18.2,8.4,54.09965078,4.995519713
"Kanawha County, West Virginia",205.4,508.7,43936,188332,16.8,40.9,44.3,2.28,14.7,7,43.74346505,4.091266719
"Lewis County, West Virginia",218.4,553,40568,16448,20,42.2,44.7,2.48,9.3,7.2,49.87741342,4.374100719
"Lincoln County, West Virginia",226.9,513.2,34295,21415,24.4,41.4,42.8,2.69,5.7,10.1,52.9271954,2.635983264
"Logan County, West Virginia",240.1,523.9,36437,34707,20.2,41.5,44.1,2.5,5.5,10.9,52.33924375,4.195713917
"McDowell County, West Virginia",234.8,457.1,24707,19835,34.9,41.5,46.5,2.39,3.2,13.3,44.26650367,3.860072376
"Marion County, West Virginia",188.8,510.9,43729,56925,17.9,39.7,42.7,2.47,14.5,4.9,49.46399182,5.113459745
"Marshall County, West Virginia",184.6,456.3,43356,31978,15.2,42.9,46.5,2.36,11.4,7,55.3172673,3.174132305
"Mason County, West Virginia",209.5,463.4,35799,27037,20.6,42.3,44.1,2.44,7.8,10.3,50.71046319,3.66910141
"Mercer County, West Virginia",210,493.8,35046,61164,20.5,40.6,43.7,2.39,12.5,5.1,48.3713803,4.807972069
"Mineral County, West Virginia",198.4,456.6,40012,27451,16.1,42.1,44.4,2.4,8.5,8.8,42.97381269,7.391231312
"Mingo County, West Virginia",240.8,507,29839,25292,28.1,40.4,42.7,2.38,5.4,14.1,52.14865363,2.796024928
"Monongalia County, West Virginia",155.9,444.5,43835,104236,22.5,28.5,31.3,2.56,20.6,5.8,40.42122317,4.001671717
"Monroe County, West Virginia",190.7,434.6,36351,13506,19.3,45.4,48.3,2.3,8.7,7.3,53.16042597,6.07651913
"Morgan County, West Virginia",209.7,425.4,44446,17524,13,45.8,46.6,2.36,11.1,12.3,45.14153511,4.090035685
"Nicholas County, West Virginia",199.8,455.5,36375,25594,19.6,42.3,44.7,2.39,8.2,8.4,55.74302401,3.346456693
"Ohio County, West Virginia",184.4,500.9,40195,43066,18.4,41.3,45.1,2.24,18.7,5.5,42.92698827,3.257226644
"Pendleton County, West Virginia",139.8,381.8,38204,7229,16.7,47.4,50.3,2.35,7.3,4.9,54.86268174,7.611940299
"Pleasants County, West Virginia",213.3,458.9,44801,7674,16.5,42,45.6,2.43,7.3,8.2,56.79225717,2.966381015
"Pocahontas County, West Virginia",176.8,384.8,34341,8607,17.6,47.9,49,2.24,10,5.7,53.27803051,4.256631709
"Preston County, West Virginia",169.8,435.3,41420,33940,17.6,40.4,43.5,2.52,9,7,56.80724824,4.038301415
"Putnam County, West Virginia",171.5,497.2,59472,56848,10,40.4,41.6,2.6,14.8,3.7,58.72299258,6.034482759
"Raleigh County, West Virginia",198.2,469.6,40270,77510,17.7,40,43.4,2.4,12,6.6,49.67065294,3.77850558
"Randolph County, West Virginia",168.6,405.2,37468,29126,20.8,41.7,45.1,2.35,10.6,6.7,51.97613076,4.231027535
"Ritchie County, West Virginia",214.7,502,46383,9982,17.7,45.1,45.3,2.56,6.3,10.6,49.74632166,6.267539757
"Roane County, West Virginia",204,449.2,33041,14435,23.1,43.2,45,2.48,8.2,8.9,52.19686649,2.353331124
"Summers County, West Virginia",170.4,377.1,32456,13239,25.8,46.9,46,2.22,7.6,10,50.44770774,3.812668868
"Taylor County, West Virginia",172.2,400.9,40305,16912,16.8,41.6,44.5,2.45,11.7,9.5,52.0647653,6.801152738
"Tucker County, West Virginia",168.1,528.4,36466,6966,17.1,47,48.4,2.26,7.1,7.6,56.87707641,3.868613139
"Tyler County, West Virginia",199.1,468.3,41019,8975,15.8,45.6,46.9,2.48,7.2,10.9,52.40597345,1.988950276
"Upshur County, West Virginia",189.5,453.7,38387,24758,19.7,41.2,42.5,2.57,9.3,8,53.55768173,5.300938708
"Wayne County, West Virginia",183.8,433.2,37242,40971,20,41.3,43.5,2.47,7.5,9.9,47.52860823,4.112005292
"Webster County, West Virginia",259.5,511.9,29331,8755,26.1,45.5,46.6,2.28,5.3,14.8,48.72652431,4.203539823
"Wetzel County, West Virginia",202.6,514.6,40013,15816,18.5,44.6,47.2,2.46,6,8.1,51.70881226,6.161137441
